강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Cyber Security Operations and Technology Solutions,https://www.udemy.com/course/cyber-security-operations-and-technology-solutions/,Mobolaji Moyosore,4.339128,2311,11823,59,4시간
Cyber Security: Beginner's Training Guide to Online Safety!,https://www.udemy.com/course/cyber-security-and-internet-safety/,Jeff Przybylski,4.5033965,2305,6692,52,3.5시간
Cybersecurity Incident Handling and Response,https://www.udemy.com/course/cyber-security-incident-handling-and-response/,Mohammad Adly,4.041413,2219,36123,10,1시간
Computer Networks Security from Scratch to Advanced,https://www.udemy.com/course/computer-networks-security-from-scratch-to-advnaced/,Mohammad Adly,4.568536,2220,92302,51,8시간
The Basics of Cyber Security 2020,https://www.udemy.com/course/the-basics-of-cyber-security-2020/,Faisal Ammari,4.462617,2168,72820,16,1시간
Microsoft Windows Server 2012 Certification - Exam 70-410 ,https://www.udemy.com/course/server-2012-exam-70-410-tutorial/,Infinite Skills,4.710831,2156,16163,104,10.5시간
Build an Advanced Keylogger using C++ for Ethical Hacking!,https://www.udemy.com/course/how-to-create-an-advanced-keylogger-from-scratch-for-windows/,Ermin Kreponic,3.9604816,2121,114397,35,7.5시간
Juniper JNCIA-Junos JN0-104,https://www.udemy.com/course/jncia-juniper-networks-certified-associate-jn0-102/,S2 Academy,4.5902915,2115,7006,89,11.5시간
Complete CCNA (200-301) Master Class,https://www.udemy.com/course/complete-ccna-master-class/,Experts with David Bombal,4.675823,2105,45751,136,26.5시간
Docker - SWARM - Hands-on - DevOps,https://www.udemy.com/course/learn-docker-advanced/,Mumshad Mannambeth,4.6259427,2081,14808,33,4시간
MTA 98-366 Network Fundamentals Class & Practice Exam Bundle,https://www.udemy.com/course/mta-98-366-network-fundamentals-class-practice-exam-bundle/,"Alton Hardin | 100,000+ Enrollments Worldwide",4.7001133,2072,6762,187,17시간
Cisco ISE v2.4 Video Training,https://www.udemy.com/course/isetraining/,Kevin Rodgers,4.522519,2024,9101,46,11시간
Real-World Ethical Hacking: Hands-on Cybersecurity,https://www.udemy.com/course/real-world-ethical-hacking/,Bryson Payne,4.6446176,2006,11377,96,11시간
