강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Unit Testing Dotnet (.NET) Application with xUnit .net & MOQ,https://www.udemy.com/course/unit-testing-net-core-2x-applications-with-xunit-net/,Aref Karimi,4.1792707,1781,7807,39,3.5시간
HP LoadRunner 12.55,https://www.udemy.com/course/hp-loadrunner/,Pavan Lalwani,4.373572,1750,8044,28,4.5시간
Performance Testing Course with JMeter and Blazemeter,https://www.udemy.com/course/performance-testing-course-with-jmeter-and-blazemeter/,Federico Toledo,4.06505,1701,9840,37,2시간
Rest API/Web Services testing with SoapUI+Realtime scenarios,https://www.udemy.com/course/web-services-testing-with-soap-ui/,Sashi R,4.111652,1664,9104,87,10시간
Selenium WebDriver with Java from Basics till Expert level,https://www.udemy.com/course/selenium-tutorials/,Rahul Arora,4.5524564,1587,5743,360,112시간
Automated Software Testing with Cypress,https://www.udemy.com/course/automated-testing-with-cypress/,Kaniel Outis,4.5083036,1584,9529,196,16시간
Protractor: End to End testing framework for AngularJS Apps,https://www.udemy.com/course/angularjs-protractor-tutorial/,Rahul Arora,4.3994756,1567,7542,146,17.5시간
Postman - Learn API Testing from Scratch with Live Projects,https://www.udemy.com/course/postman-api-automation-testing-with-javascript/,Rahul Shetty,4.604045,1564,10975,75,12시간
Automation Testing using Selenium & Katalon Studio,https://www.udemy.com/course/automation-testing-using-selenium-katalon-studio/,Rahul Singh Rathore,4.4433646,1559,10002,174,19.5시간
Wanna Learn JMeter ?Get Training by Industry Experts-23+hrs,https://www.udemy.com/course/basic-to-expert-jmeter/,Automation World,4.2573953,1491,8852,199,23.5시간
Azure Devops Crash Course -Build CI/CD release pipelines,https://www.udemy.com/course/azure-devops-fundamental/,Rahul Shetty,4.487613,1471,10548,50,7.5시간
Performance Testing using LoadRunner 12.50,https://www.udemy.com/course/performance-testing-using-microfocus-loadrunner-basics-advanced/,kumar Gupta,4.4688535,1453,6485,140,34시간
XPath locators for Selenium,https://www.udemy.com/course/xpath-locators-for-selenium/,Dmitry Shyshkin,4.5583043,1450,5340,26,2.5시간
"Selenium WebDriver 4, Cucumber BDD, Java & More! [NEW: 2022]",https://www.udemy.com/course/cucumber-bdd-selenium-java-complete-automation-course/,Gianni Bruno,4.74367,1428,5743,226,21시간
REST API Automation With REST Assured - A Complete Guide,https://www.udemy.com/course/rest-api-automation-with-rest-assured-part-2/,Tejasvi Hegde,4.1170983,1424,8700,108,14시간
Selenium WebDriver and Java - Learn Automation with Selenium,https://www.udemy.com/course/automation-testing-with-selenium-and-java-for-beginners/,in28Minutes Official,4.431614,1423,18857,426,39시간
"TestNG - All in One (Crash Course), Interview question & MCQ",https://www.udemy.com/course/testng-all-in-one-crash-course/,Fast n Easy Learning,4.4428706,1415,9206,67,6시간
