강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Docker Swarm: BEGINNER + ADVANCED,https://www.udemy.com/course/docker-swarm-from-beginner-to-advanced-with-docker-cluster-hosting/,Luke Angel,3.5315735,1169,21600,28,1.5시간
Git & GitHub Masterclass,https://www.udemy.com/course/git-and-github-masterclass/,Tim Buchalka's Learn Programming Academy,4.438933,1159,9226,74,11.5시간
.NET Core Microservices,https://www.udemy.com/course/net-core-microservices/,Packt Publishing,3.6533256,1152,4928,34,4시간
Kubernetes On The Cloud & The CNCF CKA Certification,https://www.udemy.com/course/kubernetes-cka-on-cloud/,Loony Corn,4.229747,1091,6738,132,8.5시간
Salesforce Lightning:  Learn about Salesforce Lightning,https://www.udemy.com/course/salesforce-lightning-ui/,Deepika Khanna,4.4630556,1077,5588,40,5.5시간
Learn Atlassian JIRA - For Agile Software Development Teams,https://www.udemy.com/course/learn-jira-in-4-hours/,Manish Verma,3.9056885,1029,5969,76,9.5시간
Fundamentals of Watson Analytics,https://www.udemy.com/course/fundamentals-of-watson-analytics/,VICONIC Development,4.3961835,1029,3130,21,1시간
All You Need to Know About REST Integration In ServiceNow,https://www.udemy.com/course/servicenow-rest-integration/,Revanth Sodavaram Muni,4.5602474,1003,5058,29,5.5시간
"DevOps with AWS CodePipeline, Jenkins and AWS CodeDeploy",https://www.udemy.com/course/ci-and-cd-with-aws-codepipeline-jenkins-and-aws-codedeploy/,TetraNoodle Team,4.437801,992,6961,33,3시간
Git and GitHub For Beginners,https://www.udemy.com/course/gitandgithubforbeginners/,Yaswanth Sai Palaghat,3.9190402,986,58395,10,1시간
Salesforce Lightning Framework,https://www.udemy.com/course/salesforce-lightning-framework/,Deepika Khanna,4.339417,951,4983,24,3.5시간
"Git & GitHub with Eclipse, Android studio & IntelliJ",https://www.udemy.com/course/git-bootcamp-with-github-learn-step-by-step/,Bibhash Roy,4.1811705,942,7579,62,8시간
Docker: A Project-Based Approach to Learning,https://www.udemy.com/course/docker-tutorial/,Jason Cannon,4.489183,871,6996,35,4.5시간
Learn the Art and Science of PCB Design with Eagle,https://www.udemy.com/course/pcb-design-with-eagle/,Amit Rana,4.639405,828,3038,36,3.5시간
