강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Introduction to Microsoft Azure IoT,https://www.udemy.com/course/introduction-to-microsoft-azure-iot/,Venkatesh Varadachari,4.22032,756,5100,22,3시간
Raspberry Pi For Beginners - 2022 Complete Course,https://www.udemy.com/course/raspberry-pi-for-beginners-step-by-step/,Edouard Renard,4.665629,731,5339,100,10시간
Complete ARM Cortex-M Bare-Metal Programming (TM4C123),https://www.udemy.com/course/cortex-m-internals-master-pointers-structures-memory-etc/,Israel Gbati,4.0313487,724,4829,178,22.5시간
Build your own GPS tracking system-Raspberry Pi Zero W 2022,https://www.udemy.com/course/build-your-own-vehicle-tracking-system-from-scratch-raspberry-pi-w/,comfiny .,4.3381243,718,5574,47,2시간
Foundation of Embedded Systems with ARM Cortex and STM32,https://www.udemy.com/course/cortex-m/,Akshay Gill,4.3284082,693,3430,53,7.5시간
Arduino Step by Step More than 50 Hours Complete Course,https://www.udemy.com/course/arduino-new-2019-more-than-50-hours-complete-course/,Roshan Premarathne,4.3044977,676,4101,367,52.5시간
"Digital Electronics: Robotics, learn by building module II",https://www.udemy.com/course/digital-electronics-robotics-learn-by-building-module-ii/,Ian Juby,4.581003,656,13041,70,13시간
Verilog HDL: VLSI Hardware Design Comprehensive Masterclass,https://www.udemy.com/course/verilog-hdl-vlsi-hardware-design-comprehensive-masterclass/,Shepherd Tutorials,4.321973,654,3255,135,12.5시간
Raspberry Pi Bootcamp : For the Beginner,https://www.udemy.com/course/pi-bootcamp/,Lee Assam,4.0660424,632,4107,57,2.5시간
Factory Automation using PLC Logics,https://www.udemy.com/course/factory-automation-using-plc-logics/,Rajvir Singh,4.2065945,629,4587,57,7시간
The Electronics Workbench: a Setup Guide,https://www.udemy.com/course/workbench/,Dr. Peter Dalmaris,4.7349844,598,4993,52,5.5시간
Super way to Learn Arduino | Creative,https://www.udemy.com/course/super-way-to-learn-arduino-creative/,Mohammed Zaid,4.2857184,589,64237,44,3.5시간
ARM Assembly Language From Ground Up™ 1,https://www.udemy.com/course/arm-assembly-programming/,Israel Gbati,4.1956396,586,4709,150,15시간
ESP32 For Arduino Makers,https://www.udemy.com/course/esp32-for-arduino-makers/,Dr. Peter Dalmaris,4.5464916,559,4473,58,7.5시간
Learn PCB Design By Designing an Arduino Nano in Altium,https://www.udemy.com/course/create-and-design-your-own-arduino-nano-in-altium-designer/,Augmented Startups,3.88166,555,6137,38,4.5시간
CMOS Analog Circuit Design,https://www.udemy.com/course/analog_ic_design_overview/,Phillip Allen,4.1273746,548,4519,12,3시간
Introduction to Arduino,https://www.udemy.com/course/introduction-to-arduino/,Venkatesh Varadachari,4.3411045,543,30570,17,1시간
Wireless Power to the People - Wireless Charging 101,https://www.udemy.com/course/wireless-power-to-the-people-wireless-charging-101/,Awesome Academy,4.7631016,532,9407,19,1시간
PLC Object Oriented Programming :Advanced Infrastructure,https://www.udemy.com/course/plc-object-oriented-programming-advanced-infastrucutre/,Mouhammad Hamsho,4.6062,529,2983,109,13시간
Build Your Own Custom Computer!,https://www.udemy.com/course/build-a-computer/,Joseph Delgadillo,4.467716,519,52290,49,4시간
Variable Frequency Drive PowerFlex 525 VFD Programming Setup,https://www.udemy.com/course/variable-frequency-vfd-powerflex-525-plc-programming-rslogix-5000/,Vladimir Romanov,4.5047655,512,1739,16,2시간
FreeRTOS  From Ground Up™  on ARM Processors (REVISED),https://www.udemy.com/course/freertos-on-arm-processors/,Israel Gbati,3.8300111,510,4367,204,23.5시간
"Model, Simulate and Control a Drone in MATLAB & SIMULINK",https://www.udemy.com/course/quadcopter-drone-dji-mavic-matlab-simulink/,Eliott Wertheimer,3.9617043,499,2272,16,4.5시간
Learn How to Build an Ethereum Mining Computer,https://www.udemy.com/course/learn-how-to-build-an-ethereum-mining-computer/,Jerad Hill,4.3914742,495,2650,33,3.5시간
Arduino Programming and Labs,https://www.udemy.com/course/eduvance-arduino/,"Eduvance (Microchip Certified Trainer, AUP Trainer, CUA Trainer)",4.1847897,491,2238,19,3.5시간
8051 Microcontroller - Embedded C and Assembly Language,https://www.udemy.com/course/8051-microcontroller-embedded-c-and-assembly-language/,Smart Logic Academy,3.19495,474,4601,67,8.5시간
Learn How to Build a Computer,https://www.udemy.com/course/learn-how-to-build-a-computer/,Ty Price,4.202306,470,1815,53,6시간
Introduction to Embedded Systems,https://www.udemy.com/course/introduction-to-embedded-systems-arduino/,Sam Thomas,4.0997996,467,1804,38,3.5시간
Learn Siemens S7-1200 PLC and HMI via TIA Portal (Advanced),https://www.udemy.com/course/learn-siemens-s7-1200-plc-and-hmi-via-tia-portal-advanced/,Rajvir Singh,4.6860175,463,3398,80,14.5시간
Electronic & Electrical Devices Maintenance&Troubleshooting,https://www.udemy.com/course/electronic-electronics-maintenance-electronic-devices-maintenance/,Educational Engineering Team,3.6521132,455,29621,57,5시간
ESP8266 & Micro Python for Internet of Things,https://www.udemy.com/course/iot_using_nodemcu_micropython/,Sujith K,4.5233145,449,3782,53,5.5시간
Oscilloscopes for beginners,https://www.udemy.com/course/oscilloscopes-for-beginners/,Dr. Peter Dalmaris,4.7024627,446,3177,60,5.5시간
Python Digital Image Processing From Ground Up™,https://www.udemy.com/course/digital-image-processing-from-ground-up-in-python/,PyTribe .,3.5705113,442,2600,62,5시간
Design a CPU,https://www.udemy.com/course/design-a-cpu/,Ross McGowan,4.734693,413,3504,39,8시간
Learn KiCad V6 and STM32 Hardware Design,https://www.udemy.com/course/learn-kicad-v6-and-stm32-hardware-design/,Philip Salmony,4.7376614,410,1574,22,1.5시간
"PCB/Electronics: Thermal Management, Cooling and Derating",https://www.udemy.com/course/pcbelectronics-thermal-management-derating-fundamentals/,Marco CATANOSSI,4.162573,408,1955,31,1.5시간
How to Build a Custom Gaming PC,https://www.udemy.com/course/how-to-build-a-gaming-pc/,Cody Ray Miller,4.888915,393,2424,42,3시간
From 0 to 1: Raspberry Pi and the Internet of Things,https://www.udemy.com/course/from-0-to-1-raspberry-pi/,Loony Corn,3.8097534,387,6054,37,7시간
Arduino  FreeRTOS  From Ground Up™ : Build RealTime Projects,https://www.udemy.com/course/arduino-freertos/,Israel Gbati,4.0993514,383,2495,80,8.5시간
The Theory Behind Electronics - A Beginners Guide,https://www.udemy.com/course/the-theory-behind-electronics-a-beginners-guide/,Idan Gabrieli,4.4742737,375,10286,62,3.5시간
Verilog for an FPGA Engineer with Xilinx Vivado Design Suite,https://www.udemy.com/course/verilog-for-an-engineer-with-xilinx-vivado-design-suite/,Kumar Khandagle,4.328467,371,2565,251,24시간
ARM Raspberry Pi Assembly Language From Ground Up™,https://www.udemy.com/course/arm-raspberry-pi-assembly-programming-from-ground-uptm/,Israel Gbati,4.2737308,364,3407,97,7시간
"Arduino : Electronics circuit, PCB Design & IOT Programming",https://www.udemy.com/course/arduino-industrial-data-logger-designing-and-programming/,Piyush Charpe,4.7746654,360,2548,122,24.5시간
Complete x86 Assembly Programming | 120+ Practical Exercises,https://www.udemy.com/course/complete-x86-assembly-language-120-practical-exercise/,x86 Assembly Community,3.7882862,353,2958,138,10시간
Microcontrollers for the Internet of Things,https://www.udemy.com/course/microcontrollers-for-iot/,Thomas Tongue,4.532157,353,2198,28,3.5시간
Controller Area Network-Indepth analysis of CAN BUS/Protocol,https://www.udemy.com/course/controller-area-network-indepth-analysis-of-can-busprotocol/,ChandraShekar K,3.6965237,351,1528,17,2.5시간
PLC At Home - For Electrical and Control Engineers,https://www.udemy.com/course/arduino-for-industrial-automation-plc-and-hmi-integration/,Mouhammad Hamsho,4.7707067,351,2251,67,7.5시간
Mastering MQTT,https://www.udemy.com/course/mastering-mqtt/,Venkatesh Varadachari,4.148011,349,2078,56,2.5시간
Fusion 360 CAD/CAM for CNC routers,https://www.udemy.com/course/fusion-360-cad-cam-for-cnc-routers/,Marc Cronin,4.0946674,343,1979,16,2.5시간
Beginners Masterclass into Internet of Things,https://www.udemy.com/course/internet-of-things-raspberrypi-azure/,Amit Rana,4.761629,342,2606,71,9시간
Arduino Practice Test: Get Certified and Test Your Skills,https://www.udemy.com/course/arduino-practice-test-get-certified-and-test-your-skills/,Educational Engineering Team,3.649052,338,14248,0,42개의 질문
How to Build a Computer from Scratch: Complete Blueprint,https://www.udemy.com/course/how-to-build-a-computer-from-scratch-complete-blueprint/,Matt Thomas,3.850731,335,4523,51,2.5시간
The Foundations of Computer Design,https://www.udemy.com/course/the-foundations-of-computer-design/,Brian Scotto,4.1646276,335,4674,39,2시간
FPGA Turbo Series - Implementing a UART,https://www.udemy.com/course/fpga-turbo-series-uart/,Jordan Christman,4.3214736,334,2342,23,2시간
Siemens TIA Portal - PLC Programming Basics,https://www.udemy.com/course/siemens-tia-portal-plc-programming-basics/,Hans Schrynemakers,4.6567698,325,1153,46,3시간
Embedded Systems using the ARM Mbed Platform,https://www.udemy.com/course/arm-mbed/,"Eduvance (Microchip Certified Trainer, AUP Trainer, CUA Trainer)",4.3363037,322,4668,20,4.5시간
Step-by-Step Learn Wonderware InTouch SCADA (PLC-SCADA-2),https://www.udemy.com/course/step-by-step-learn-wonderware-intouch-scada-practically/,Goeduhub Technologies,4.2742286,320,1289,68,7.5시간
"Electrical,  Electronics and PCB Design Safety & Compliance",https://www.udemy.com/course/designers-guide-to-electrical-safety-isolation-standards/,Marco CATANOSSI,4.085843,317,2056,91,3시간
design PCB using Eagle Cadsoft step by step(Older Version),https://www.udemy.com/course/design-pcb-using-eagle-cadsoft-step-by-step/,Mohannad Rawashdeh,4.3356004,311,1152,38,3시간
