강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
From 0 to 1: The Cassandra Distributed Database,https://www.udemy.com/course/from-0-to-1-the-cassandra-distributed-database/,Loony Corn,4.3608007,1992,12539,46,6시간
SQL Server Administration Part 2,https://www.udemy.com/course/sql-server-administration-part-2/,Raphael Asghar,4.6105227,1924,12288,49,10시간
Oracle PL/SQL is My Game: EXAM 1Z0-149,https://www.udemy.com/course/oracle-plsql-is-my-game-exam-1z0-144/,Khaled Alkhudari,4.366566,1896,10604,220,22시간
SQL Tutorial: Learn SQL with MySQL Database -Beginner2Expert,https://www.udemy.com/course/sql-tutorial-learn-sql-with-mysql-database-beginner2expert/,Pradnyankur Nikam,4.2152457,1854,9602,127,11시간
Mastering Amazon Redshift 2021 Development & Administration,https://www.udemy.com/course/redshift-aws-amazon-development-administration-analytics-datawarehouse/,Siddharth Mehta,4.2365203,1854,12407,147,18.5시간
ETL Testing: From Beginner to Expert,https://www.udemy.com/course/the-complete-etl-testing-course/,Sid Inf,4.1225114,1851,10351,255,19시간
AWS DynamoDB - The Complete Guide (Build 18+ Hands On Demos),https://www.udemy.com/course/dynamodb/,Riyaz Sayyad,4.3867164,1848,15550,121,16.5시간
Microsoft SQL Server Integration Services (SSIS) Training,https://www.udemy.com/course/microsoft-ssis/,Intelligence Guru,4.305716,1825,8672,21,2.5시간
SQL Server Reporting Services Part 1 (SSRS),https://www.udemy.com/course/sql-server-reporting-services-part-1-ssrs/,Raphael Asghar,4.363356,1787,8441,32,6시간
"Become an SQL Developer:  Learn (SSRS, SSIS, SSAS,T-SQL,DW)",https://www.udemy.com/course/become-an-sql-developer-learn-ssrs-ssis-ssast-sqldw/,Bluelime Learning Solutions,3.998121,1729,9523,154,17시간
Learning Apache Hadoop EcoSystem- Hive,https://www.udemy.com/course/learning-apache-hive/,Balaji M,4.19618,1707,33722,29,4.5시간
MySQL Database Administration: Beginner SQL Database Design,https://www.udemy.com/course/mysql-dba-for-beginners/,Maven Analytics,4.651048,1671,8945,71,7시간
SQL Server SSAS (Multidimensional MDX) - an Introduction,https://www.udemy.com/course/sql-server-ssas-multidimensional-mdx-an-introduction/,Phillip Burton,4.3443956,1660,9183,90,8시간
Database Design and MySQL,https://www.udemy.com/course/calebthevideomaker2-database-and-mysql-classes/,Caleb Curry,4.266736,1618,62926,100,10시간
SQL Course For Beginners: Learn SQL Using MySQL Database,https://www.udemy.com/course/sqlcourse/,Ashutosh Pawar,4.458971,1614,9564,76,5시간
SQL Server Administration Part 3,https://www.udemy.com/course/sql-server-administration-part-3/,Raphael Asghar,4.7322717,1591,10095,39,8.5시간
MySQL for Beginners,https://www.udemy.com/course/mysql-db-for-beginners/,Vasandkumar Kunasekaran,4.5476785,1550,22429,58,6시간
Practical Database Course for Beginners : 6 courses in 1,https://www.udemy.com/course/database-course/,Creative Online School,4.4192543,1525,215982,62,4.5시간
Oracle Database Administration Workshop ( 12c and Higher),https://www.udemy.com/course/oracle-database-administration-certified-associate-1z0-072/,Khaled Alkhudari,4.6061983,1509,7882,203,27시간
