강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Instalación y configuración de Windows Server 2016 / 2019,https://www.udemy.com/course/curso-instalacion-y-configuracion-de-windows-server-2016/,Jair Gomez,4.5397954,3677,11508,327,46시간
Microsoft Azure: [Aprenda do Zero],https://www.udemy.com/course/microsoft-azure-aprenda-do-zero/,Gustavo Henrique Malta Magella,4.5299873,3243,12595,42,9.5시간
Windows Server 2016,https://www.udemy.com/course/windows-server-2016-l/,Denilson Bonatti,4.7872005,3126,8782,64,5시간
Microsoft Windows Server 2019 [COMPLETO],https://www.udemy.com/course/windows-server-2019-1/,Denilson Bonatti,4.7929626,2808,8939,119,12.5시간
Programação Shell Script - Automatizando Rotinas no Linux,https://www.udemy.com/course/programacao-shell-script/,Ricardo Prudenciato,4.7922125,2742,11359,66,9.5시간
Windows Server 2012 R2,https://www.udemy.com/course/windows-server-2012-r2/,Denilson Bonatti,4.567742,2469,6168,57,6시간
GIT y GITHUB desde cero!,https://www.udemy.com/course/introduccion-git-github/,Noelia Silva,4.419245,2467,26768,20,1.5시간
Comandos de Linux: desde cero hasta programar Shell Script,https://www.udemy.com/course/comandos-terminal-bash-linux-y-programar-shell-script/,Antonio Sánchez Corbalán - LPI Training Partner,4.715575,2335,8699,118,15시간
LPIC-1 Linux-Bootcamp - In 30 Tagen zum Linux-Admin,https://www.udemy.com/course/lpic-1-linux-bootcamp-in-30-tagen-zum-linux-admin/,Eric Amberg,4.571793,2184,15421,267,29.5시간
Aprende JavaScript y Jquery  de 0 a 100,https://www.udemy.com/course/aprende-javascript-y-jquery-de-0-a-100/,Manuel Munoz Mir,4.2510114,2079,70936,40,4시간
Aprendendo terminal Linux pondo a mão na massa!,https://www.udemy.com/course/aprendalinux/,Tiago Bacciotti Moreira,4.847343,2073,15731,15,2.5시간
Curso de Linux: todo lo necesario para ser administrador,https://www.udemy.com/course/conviertase-en-administrador-linux/,Proyecto Oforte Cursos de calidad sobre Tecnología.,4.613405,2018,7444,144,10시간
JavaScript do básico ao avançado (c/ Node.js e projetos),https://www.udemy.com/course/javascript-do-basico-ao-avancado-com-node-e-projetos/,Matheus Battisti,4.726587,1774,9830,379,22.5시간
Impara Linux da zero: LPI Linux Essentials,https://www.udemy.com/course/impara-linux-da-zero-lpi-linux-essentials/,Moreno Razzoli,4.817067,1634,4523,47,6.5시간
Ansible para SysAdmin,https://www.udemy.com/course/ansible-para-sysadmin/,Phillipe Farias,4.6095004,1497,7154,63,10.5시간
Impara Linux: dalle basi alla certificazione LPI - Exam 101,https://www.udemy.com/course/impara-linux-dalle-basi-alla-certificazione/,Moreno Razzoli,4.6209292,1481,6767,88,13.5시간
[2022] GNU/Linux de débutant à confirmé en quelques heures,https://www.udemy.com/course/gnulinux-de-debutant-a-confirme-en-quelques-heures/,Jordan Assouline,4.553484,1437,6603,106,8시간
DBA SQL Server Essencial - Aprenda do Zero!,https://www.udemy.com/course/dba-sql-server-2016-essencial/,Felipe Mafra,4.788527,1298,4590,56,12시간
Ada369 1.0 - Sistema de ventas Profesional en C# y SQLserver,https://www.udemy.com/course/sistema-de-ventas-profesional-en-c-y-sqlserver/,Codigo 369,4.5772734,1237,30752,204,96.5시간
Curso Completo de Linux,https://www.udemy.com/course/curso-completo-de-linux/,Beny Blanco,4.4135613,1214,20791,158,15시간
Kali Linux ile Sıfırdan Temel Linux Eğitimi,https://www.udemy.com/course/kali-linux-ile-sifirdan-temel-linux-egitimi/,Taylan Özgür Bildik,4.748855,1135,5096,210,11.5시간
"Terminal Linux, Shell Scripting e Gerenciamento de Redes",https://www.udemy.com/course/terminal-linux-do-zero-ao-gerenciamento-de-redes/,"MPro Consultoria, Desenvolvimento e Treinamento",4.46518,1095,5268,106,16시간
Powershell dla administratora Windows - kompletny kurs,https://www.udemy.com/course/powershell-dla-administratora-windows/,Rafał Mobilo,4.5375075,984,5591,119,6시간
Banco de Dados SQL do ZERO ao Avançado 2022 + 2 CURSOS,https://www.udemy.com/course/curso-sql-do-zero-ao-avancado/,Andre Iacono | 135.000+ Alunos,4.7246385,926,3491,80,6시간
Aprenda tudo sobre o Linux! Completo e atualizado v2022!,https://www.udemy.com/course/curso-completo-linux/,Vitor Mazuco,4.6584783,921,5399,442,68시간
Mantenimiento y Reparación de Equipos de Computo Desde Cero,https://www.udemy.com/course/mantenimiento-y-reparacion-de-equipos-de-computo-desde-cero/,John Álvarez,4.5952325,920,2364,89,12시간
Linux für Einsteiger – Das ultimative Einsteiger-Training!,https://www.udemy.com/course/linux-fuer-einsteiger/,René Fürst,4.5677977,918,4799,50,5시간
Instalando e Configurando o Windows 10,https://www.udemy.com/course/instalando-e-configurando-o-windows-10/,Inaldo Lopes,4.391834,887,2080,41,10.5시간
Curso Básico de Linux,https://www.udemy.com/course/linux-debian-desde-cero/,Beny Blanco,4.4777684,883,15097,33,3.5시간
Administração de Servidores Linux com CentOS 7,https://www.udemy.com/course/administracao-servidores-linux-com-centos/,Denilson Bonatti,4.846848,871,3321,36,4.5시간
Servicios de Dominio de Active Directory de cero a EXPERTO,https://www.udemy.com/course/servicios-de-dominio-de-active-directory-de-cero-a-experto/,Carlos Melantuche,4.6300774,805,12155,46,7시간
Curso Completo de Servicio Técnico y Soporte de Computadoras,https://www.udemy.com/course/servicio-tecnico-y-soporte-computadoras/,Beny Blanco,4.5679216,761,15603,70,7시간
Serie Active Directory,https://www.udemy.com/course/serie-active-directory/,Leonardo Duarte De Amorim,4.241194,732,4898,98,18시간
"Informática Básica - Windows 10, Email, Internet e Nuvem",https://www.udemy.com/course/informatica-basica-windows-10-email-internet-e-nuvem/,Roberto Cestari,4.4985347,725,2695,39,5시간
Active Directory mit Windows Server 2016,https://www.udemy.com/course/active-directory-mit-windows-server-2016/,Tom Wechsler,4.727096,720,2698,27,3.5시간
