강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"MariaDB 클라이언트 개발, HeidiSQL",https://www.udemy.com/course/mariadb-heidisql/,소프트웨어 알림장,0.0,0,45,10,120.0,IT_software
"Microcosm SW Fair - 경쟁없는, 나만의 시빅해킹",https://www.udemy.com/course/microcosm-sw-fair/,호준 이,0.0,0,37,10,37.0,IT_software
Docker for the Absolute Beginner - Hands On - DevOps,https://www.udemy.com/course/learn-docker/,Mumshad Mannambeth,4.7,34047,140172,52,270.0,IT_software
Blockchain and Bitcoin Fundamentals,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/,George Levy,4.6,33258,103582,39,180.0,IT_software
Ansible for the Absolute Beginner - Hands-On - DevOps,https://www.udemy.com/course/learn-ansible/,Mumshad Mannambeth,4.6,27935,106664,32,150.0,IT_software
Spring Framework Master Class - Java Spring the Modern Way,https://www.udemy.com/course/spring-tutorial-for-beginners/,in28Minutes Official,4.4,22333,121854,139,720.0,IT_software
Google Cloud Platform (GCP) Fundamentals for Beginners,https://www.udemy.com/course/google-cloud-platform-gcp-fundamentals-for-beginners/,Janakiram MSV,4.4,20624,66693,90,240.0,IT_software
API and Web Service Introduction,https://www.udemy.com/course/api-and-web-service-introduction/,Nate Ross,4.5,17144,57919,55,390.0,IT_software
Azure DevOps Fundamentals for Beginners,https://www.udemy.com/course/azure-devops-for-beginners/,Brian Culp,4.5,15825,59606,44,210.0,IT_software
Learn DevOps: The Complete Kubernetes Course,https://www.udemy.com/course/learn-devops-the-complete-kubernetes-course/,Edward Viaene,4.4,14010,94455,146,840.0,IT_software
Python Bootcamp 2021 Build 15 working Applications and Games,https://www.udemy.com/course/python-complete-bootcamp-2019-learn-by-applying-knowledge/,Dev Nirwal,4.1,12466,494548,378,1920.0,IT_software
Learn Java Unit Testing with Junit & Mockito in 30 Steps,https://www.udemy.com/course/mockito-tutorial-with-junit-examples/,in28Minutes Official,4.4,11897,56559,39,300.0,IT_software
Introduction to Cloud Computing on AWS for Beginners [2022],https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/,Neal Davis | AWS Certified Solutions Architect & Developer,4.6,11455,99007,93,480.0,IT_software
Java 8 New Features In Simple Way,https://www.udemy.com/course/java-8-new-features-in-simple-way/,DURGASOFT DURGA,4.6,9986,35377,93,1230.0,IT_software
Azure DevOps Boards for Project Managers/Analyst/Developers,https://www.udemy.com/course/azure-devops-for-project-managers-analyst/,Patrick Videos,4.5,9765,28920,9,90.0,IT_software
Master Microsoft PowerShell,https://www.udemy.com/course/master-microsoft-powershell/,Tom Meservy,4.4,9314,36778,31,120.0,IT_software
Maven Crash Course,https://www.udemy.com/course/mavencrashcourse/,Bharath Thippireddy,4.4,9379,56042,126,360.0,IT_software
React basic in just 1 hour [2021],https://www.udemy.com/course/react-basic-in-just-1-hour/,Leo Trieu,4.2,9251,122451,17,60.0,IT_software
DevOps Project - 2022: CI/CD with Jenkins Ansible Kubernetes,https://www.udemy.com/course/valaxy-devops/,AR Shankar | Valaxy Technologies,4.5,9126,52849,62,390.0,IT_software
Selenium WebDriver Masterclass with C#,https://www.udemy.com/course/selenium-with-c/,Nikolay Advolodkin,4.3,8883,27394,471,1770.0,IT_software
Java Web Services,https://www.udemy.com/course/java-web-services/,Bharath Thippireddy,4.7,8295,40117,340,1080.0,IT_software
Programming for Kids and Beginners: Learn to Code in Scratch,https://www.udemy.com/course/programming-for-kids/,Daniel Ciocîrlan,4.7,8278,27707,38,450.0,IT_software
Mastering Ansible,https://www.udemy.com/course/mastering-ansible/,Chris Lunsford,4.2,8176,38693,55,300.0,IT_software
SAP MM Training - in Plain English,https://www.udemy.com/course/sap-mm-training/,Siva Prasad,4.5,7810,34141,200,1560.0,IT_software
Learn API Technical Writing: JSON and XML for Writers,https://www.udemy.com/course/api-documentation-1-json-and-xml/,Peter Gruenbaum,4.5,7777,33326,16,90.0,IT_software
Learn Advanced C++ Programming,https://www.udemy.com/course/learn-advanced-c-programming/,John Purcell,4.3,7358,45153,105,900.0,IT_software
"REST API Design, Development & Management",https://www.udemy.com/course/rest-api/,Rajeev Sakhuja,4.4,7325,37949,60,450.0,IT_software
The DevOps Essentials -  The Handbook,https://www.udemy.com/course/the-devops-essentials/,Anand Rao Nednur,4.5,7295,24301,19,120.0,IT_software
SAP S/4HANA Training - in Plain English,https://www.udemy.com/course/sap-s4hana-training/,Siva Prasad,4.4,6935,27541,54,420.0,IT_software
AWS Lambda and the Serverless Framework - Hands On Learning!,https://www.udemy.com/course/aws-lambda-serverless/,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",4.5,6883,50885,91,630.0,IT_software
"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps",https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,in28Minutes Official,4.5,6649,80813,222,1260.0,IT_software
Learn Java Unit Testing with JUnit 5 in 20 Steps,https://www.udemy.com/course/junit-tutorial-for-beginners-with-java-examples/,in28Minutes Official,4.6,6232,50702,38,180.0,IT_software
"NFT Fundamentals (Buy, Create and Sell NFTs)",https://www.udemy.com/course/nft-fundamentals/,George Levy,4.6,6221,30589,31,150.0,IT_software
Ansible Advanced - Hands-On - DevOps,https://www.udemy.com/course/learn-ansible-advanced/,Mumshad Mannambeth,4.5,6085,40779,30,240.0,IT_software
Git Essentials: Learn Git with Bitbucket and Sourcetree,https://www.udemy.com/course/git-with-bitbucket-and-sourcetree/,Juke Moon,4.5,6026,24155,58,150.0,IT_software
Learn Big Data: The Hadoop Ecosystem Masterclass,https://www.udemy.com/course/learn-big-data-the-hadoop-ecosystem-masterclass/,Edward Viaene,4.1,5712,27388,98,360.0,IT_software
SAP FICO (Financial Accounting & Management Accounting),https://www.udemy.com/course/sap-fico-training-course/,Rana W Mehmood,4.4,5668,30936,45,2430.0,IT_software
Microsoft Excel Data Analysis - Learn How The Experts Use It,https://www.udemy.com/course/excel-data-analysis/,New Horizon,4.9,5661,16342,39,180.0,IT_software
Java Interview Guide : 200+ Interview Questions and Answers,https://www.udemy.com/course/java-interview-questions-and-answers/,in28Minutes Official,4.5,5661,37492,55,360.0,IT_software
SDLC Overview (1 Hour) - Software Development Life Cycle,https://www.udemy.com/course/sdlc-phases/,Ram sf,4.3,5589,19450,11,90.0,IT_software
SQL Server Integration Services (SSIS) - An Introduction,https://www.udemy.com/course/sql-server-ssis-an-introduction/,Phillip Burton,4.5,5317,19990,46,240.0,IT_software
Spring MVC For Beginners - Build Java Web App in 25 Steps,https://www.udemy.com/course/spring-mvc-tutorial-for-beginners-step-by-step/,in28Minutes Official,4.3,5371,28632,53,390.0,IT_software
The Complete Guide to Becoming a Software Architect,https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,Memi Lavi,4.5,5285,29946,117,360.0,IT_software
Blue Prism Foundation Course,https://www.udemy.com/course/blue-prism-tutorials/,Arun Nair,4.6,5104,18312,44,360.0,IT_software
Windows PowerShell in less than 2 hours - 15 hands on demos!,https://www.udemy.com/course/easypowershell/,Joseph Alex,4.8,5023,20131,25,90.0,IT_software
The Complete Regular Expressions(Regex) Course For Beginners,https://www.udemy.com/course/regular-expressions-mastery/,Sujith George,4.8,4771,20013,34,210.0,IT_software
Microservices Architecture - The Complete Guide,https://www.udemy.com/course/microservices-architecture-the-complete-guide/,Memi Lavi,4.5,4730,26764,90,300.0,IT_software
Oracle WebLogic 12c for Administrators,https://www.udemy.com/course/oracle-weblogic-12c-for-administrators/,Chris Parent,4.5,4709,15514,57,660.0,IT_software
Spring Framework In Easy Steps,https://www.udemy.com/course/springframeworkineasysteps/,Bharath Thippireddy,4.5,4767,27946,288,780.0,IT_software
React Tutorial and Projects Course (2022),https://www.udemy.com/course/react-tutorial-and-projects-course/,John Smilga,4.7,4681,31758,525,3450.0,IT_software
Amazon EC2 Master Class (with Auto Scaling & Load Balancer),https://www.udemy.com/course/aws-ec2-masterclass/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,4566,22157,126,690.0,IT_software
Azure Data Factory For Data Engineers - Project on Covid19,https://www.udemy.com/course/learn-azure-data-factory-from-scratch/,Ramesh Retnasamy,4.6,4498,23857,112,570.0,IT_software
Hive to ADVANCE Hive (Real time usage) :Hadoop querying tool,https://www.udemy.com/course/hadoop-querying-tool-hive-to-advance-hivereal-time-usage/,J Garg,4.4,4262,20669,76,420.0,IT_software
Getting Started With SolidWorks Hands On - Learn by Doing,https://www.udemy.com/course/solidworks-getting-started/,New Horizon e-Learning Solutions,4.9,4204,17644,12,120.0,IT_software
Learn Complete Python In Simple Way,https://www.udemy.com/course/learn-complete-python-tutorial-in-simple-way/,DURGASOFT DURGA,4.8,4156,15581,422,6840.0,IT_software
Apache Tomcat Server from Beginners to Advanced,https://www.udemy.com/course/apache-tomcat-for-beginners-and-advanced/,Cryptocloud Training,4.2,4144,14535,62,480.0,IT_software
React Testing with Jest and Enzyme,https://www.udemy.com/course/react-testing-with-jest-and-enzyme/,Bonnie Schulkin,4.5,4039,24452,207,900.0,IT_software
Istio Hands-On for Kubernetes,https://www.udemy.com/course/istio-hands-on-for-kubernetes/,Richard Chesterwood,4.6,4016,24413,56,750.0,IT_software
D3.js Data Visualization Fundamentals - Hands On,https://www.udemy.com/course/d3jsbasics/,New Horizon,4.9,3918,13378,46,270.0,IT_software
Power BI - Data Analytics Essentials with Power BI,https://www.udemy.com/course/data-analytics-essentials-with-power-bi/,Ahmed Oyelowo,4.6,3853,67068,77,300.0,IT_software
Spring Boot Fundamentals,https://www.udemy.com/course/springbootfundamentals/,Bharath Thippireddy,4.5,3832,18127,184,600.0,IT_software
User Story Masterclass: Your Agile Guide to User Stories,https://www.udemy.com/course/user-stories/,The BA Guide | Jeremy Aschenbrenner,4.5,3791,17183,64,180.0,IT_software
70-462: SQL Server Database Administration (DBA),https://www.udemy.com/course/70-462-sql-server-database-administration-dba/,Phillip Burton,4.6,3782,18880,100,600.0,IT_software
Algorithms and Data Structures in Python (INTERVIEW Q&A),https://www.udemy.com/course/algorithms-and-data-structures-in-python/,Holczer Balazs,4.6,3746,23891,210,1320.0,IT_software
OpenStack Essentials,https://www.udemy.com/course/openstack/,Ugur Oktay,4.4,3740,15823,61,390.0,IT_software
The Complete Mainframe Professional Course - 4 Courses in 1,https://www.udemy.com/course/the-complete-mainframe-professional-course-tso-ispf/,Abhishek Rathi,4.6,3669,17471,230,1170.0,IT_software
Best QA Manual Software Testing: Live Project+Agile+Jira+API,https://www.udemy.com/course/best-manual-software-testing-live-project-agile-jira/,Richa Mehta,4.2,3597,11528,25,270.0,IT_software
Data Modeling and Relational Database Design using ERwin,https://www.udemy.com/course/datamodeling/,Haris Kilikotu,4.4,3555,16000,34,210.0,IT_software
"ROS for Beginners: Basics, Motion, and OpenCV",https://www.udemy.com/course/ros-essentials/,Anis Koubaa,4.4,3523,15467,151,840.0,IT_software
Terraform for AWS - Beginner to Expert,https://www.udemy.com/course/terraform-fast-track/,Warp 9 Training,4.5,3490,18680,71,180.0,IT_software
Microsoft Azure: From Zero to Hero - The Complete Guide,https://www.udemy.com/course/microsoft-azure-from-zero-to-hero-the-complete-guide/,Memi Lavi,4.6,3417,25060,276,1230.0,IT_software
"SAP HANA Implementation, Modeling and Reporting Course",https://www.udemy.com/course/sap-hana-sp09-implementation-modeling-and-reporting-course/,Junaid Ahmed,4.4,3375,21985,255,1560.0,IT_software
Power Automate - Complete Guide to Microsoft Power Automate,https://www.udemy.com/course/complete-guide-to-microsoft-power-automate-flow/,Henry Habib,4.5,3359,19057,174,600.0,IT_software
Jenkins - The Complete Tutorial | Master CICD and DevOps,https://www.udemy.com/course/jenkins-course-devops-cicd-complete-reference/,Renju Ratheesh,4.4,3348,16994,30,330.0,IT_software
Azure Databricks & Spark Core For Data Engineers(Python/SQL),https://www.udemy.com/course/azure-databricks-spark-core-for-data-engineers/,Ramesh Retnasamy,4.6,3295,19352,147,900.0,IT_software
JUnit and Mockito Crash Course,https://www.udemy.com/course/junitandmockitocrashcourse/,Bharath Thippireddy,4.3,3314,16223,121,360.0,IT_software
Learn Java Functional Programming with Lambdas & Streams,https://www.udemy.com/course/functional-programming-with-java/,in28Minutes Official,4.6,3284,15711,44,270.0,IT_software
gRPC [Golang] Master Class: Build Modern API & Microservices,https://www.udemy.com/course/grpc-golang/,Clément Jean,4.5,3261,27119,54,240.0,IT_software
Learn Swagger and the Open API Specification,https://www.udemy.com/course/learn-swagger-and-the-open-api-specification/,Peter Gruenbaum,4.5,3244,17305,13,60.0,IT_software
AWS Certified Solutions Architect Professional Practice Exam,https://www.udemy.com/course/aws-solutions-architect-professional-practice-exams-amazon/,Jon Bonso | AWS Certified Solutions Architect Professional,4.6,3187,27539,0,,IT_software
Master in Microsoft Power BI Desktop and Service,https://www.udemy.com/course/power-bi-master-course/,Learnsector LLP,4.4,3181,111216,82,450.0,IT_software
Dive Into Ansible - From Beginner to Expert in Ansible,https://www.udemy.com/course/diveintoansible/,James Spurin,4.6,3105,19310,35,450.0,IT_software
AWS Business Essentials - The Business Value of AWS [2022],https://www.udemy.com/course/aws-business-essentials/,Neal Davis | AWS Certified Solutions Architect & Developer,4.6,3102,26706,40,150.0,IT_software
"MySQL, SQL and Stored Procedures from Beginner to Advanced",https://www.udemy.com/course/mysql-and-sql-from-beginner-to-advanced/,John Purcell,4.0,3064,20056,136,1110.0,IT_software
Kubernetes Mastery: Hands-On Lessons From A Docker Captain,https://www.udemy.com/course/kubernetesmastery/,Bret Fisher,4.7,3039,20450,110,480.0,IT_software
Apache Kafka Series - Kafka Cluster Setup & Administration,https://www.udemy.com/course/kafka-cluster-setup/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.6,3015,22531,48,240.0,IT_software
5G RF Planning,https://www.udemy.com/course/5g-rf-planning/,Honey Charnalia,4.4,2989,5821,13,150.0,IT_software
Microsoft Power Automate (Flow) Crash Course,https://www.udemy.com/course/microsoft-power-automate-crash-course/,Alireza Aliabadi,4.6,2986,11453,52,480.0,IT_software
Microsoft Flow Crash Course,https://www.udemy.com/course/microsoft-flow-crash-course/,Alireza Aliabadi,4.6,2972,10101,37,240.0,IT_software
[NEW] Amazon EKS Starter: Docker on AWS EKS with Kubernetes,https://www.udemy.com/course/amazon-eks-starter-kubernetes-on-aws/,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",4.4,2958,27108,103,660.0,IT_software
Microsoft SQL Server Reporting Services (SSRS),https://www.udemy.com/course/microsoft-sql-server-reporting-services-ssrs/,Phillip Burton,4.5,2913,15831,74,360.0,IT_software
Power BI Masterclass from Scratch in 90 minutes  [2022],https://www.udemy.com/course/power-bi-in-60-minutes/,Learn Anywhere,4.5,2904,12942,35,90.0,IT_software
"Cryptocurrency Fundamentals: Buy, Sell, Trade Cryptocurrency",https://www.udemy.com/course/cryptocurrency-fundamentals/,George Levy,4.5,2866,9826,18,90.0,IT_software
AWS Essentials - Hands-on Learning,https://www.udemy.com/course/aws-essentials-hands-on-learning/,Tek Smart Learning,4.4,2870,7482,36,330.0,IT_software
Google Cloud Platform (GCP) - For Techs,https://www.udemy.com/course/google-cloud-for-techs/,Rajesh RP,4.5,2816,11914,45,300.0,IT_software
Ethereum : Decentralized Application Design & Development,https://www.udemy.com/course/ethereum-dapp/,Rajeev Sakhuja,4.1,2810,19618,101,690.0,IT_software
XML and XML Schema Definition in Easy Steps,https://www.udemy.com/course/xml-and-xml-schema-definition-in-easy-steps/,Bharath Thippireddy,4.6,2790,13318,108,270.0,IT_software
Programming in Microsoft C# - Exam 70-483,https://www.udemy.com/course/programming-in-microsoft-c-exam-70-483/,Infinite Skills,4.6,2781,9358,101,510.0,IT_software
How To Begin Your Career As a SQL Server DBA,https://www.udemy.com/course/how-to-become-a-real-world-sql-server-dba/,Mike West,4.5,2764,52372,40,120.0,IT_software
SAP FICO (Finance & Controlling )  Simplified For Beginners,https://www.udemy.com/course/sap_fico_with_material/,R eLearning Solutions,4.3,2757,32827,217,2700.0,IT_software
Apache Kafka for absolute beginners,https://www.udemy.com/course/apache-kafka-for-beginners/,Prashant Kumar Pandey,4.6,2754,23499,55,300.0,IT_software
Complete VMWare vSphere ESXi and vCenter Administration,https://www.udemy.com/course/complete-vmware-vsphere-esxi-and-vcenter-administration/,Imran Afzal,4.7,2749,20212,107,660.0,IT_software
