강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"Software Development From A to Z - OOP, UML, Agile, Python",https://www.udemy.com/course/software-development-from-a-to-z/,Karoly Nyisztor • Professional Software Architect,4.6,1674,8564,105,330.0,software_engineering
gRPC [Java] Master Class: Build Modern API & Micro services,https://www.udemy.com/course/grpc-java/,Clément Jean,4.6,1653,13224,57,210.0,software_engineering
Learn to Develop for Cloud with Pivotal Cloud Foundry,https://www.udemy.com/course/learn-to-develop-for-cloud-with-pivotal-cloud-foundry/,Niyazi Erdogan,3.1,1649,7563,41,150.0,software_engineering
Qt 5 C++ GUI Development For Beginners : The Fundamentals,https://www.udemy.com/course/qt-c-gui-tutorial-for-complete-beginners/,Daniel Gakwaya,4.6,1641,7900,76,870.0,software_engineering
Getting Started with .NET Core Clean Architecture,https://www.udemy.com/course/getting-started-with-net-core-clean-architecture/,Manish Narayan,4.4,1624,7485,64,240.0,software_engineering
[NEW] Amazon ECS & Fargate Master Class - Docker on AWS,https://www.udemy.com/course/aws-ecs-fargate/,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",4.5,1605,14607,70,630.0,software_engineering
Data Structures & Algorithms Essentials using C++ (2022),https://www.udemy.com/course/cpp-data-structures-algorithms-prateek-narang/,Prateek Narang,4.6,1599,8800,243,1620.0,software_engineering
"ROS For Beginners (ROS Noetic, Melodic, Kinetic)",https://www.udemy.com/course/ros-for-beginners/,Edouard Renard,4.5,1562,5940,71,360.0,software_engineering
The Complete GitHub Actions & Workflows Guide,https://www.udemy.com/course/github-actions/,Ali Alaa,4.5,1560,10592,63,480.0,software_engineering
Akka Essentials with Scala | Rock the JVM,https://www.udemy.com/course/akka-essentials/,Daniel Ciocîrlan,4.7,1550,8286,36,780.0,software_engineering
Apache Spark 3 - Spark Programming in Scala for Beginners,https://www.udemy.com/course/apache-spark-programming-in-scala/,Prashant Kumar Pandey,4.5,1544,8317,63,420.0,software_engineering
Data Visualization with Kibana,https://www.udemy.com/course/data-visualization-with-kibana/,Bo Andersen,4.5,1526,10281,58,330.0,software_engineering
Apache Kafka - Real-time Stream Processing (Master Class),https://www.udemy.com/course/kafka-streams-real-time-stream-processing-master-class/,Prashant Kumar Pandey,4.6,1509,10134,78,660.0,software_engineering
OAuth 2.0 in Spring Boot Applications,https://www.udemy.com/course/oauth2-in-spring-boot-applications/,Sergey Kargopolov,4.6,1501,12090,186,660.0,software_engineering
RabbitMQ: The Complete Guide with Software Architecture Applications,https://www.udemy.com/course/rabbitmq-the-complete-guide-with-software-architecture-applications/,Binary Brain,3.6,1465,7072,14,90.0,software_engineering
