강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
Teradata Fundamentals - Comprehensive SQL course on Teradata,https://www.udemy.com/course/teradata-sql-beginners-guide/,Saad Qureshi,4.5,652,2761,68,510.0,DataBase
Microsoft SQL Server 2012 Certification Training Exam 70-462,https://www.udemy.com/course/microsoft-sql-server-2012-certification-training-exam-70-462/,Infinite Skills,4.5,636,6561,109,720.0,DataBase
"SQL - The Complete Developer's Guide (MySQL, PostgreSQL)",https://www.udemy.com/course/sql-the-complete-developers-guide-mysql-postgresql/,Academind by Maximilian Schwarzmüller,4.7,632,6897,220,1170.0,DataBase
Learning Path: Modern DevOps,https://www.udemy.com/course/modern-devops/,Packt Publishing,4.2,629,5134,109,900.0,DataBase
Sachin Quickly Learns (SQL) - Structured Query Language,https://www.udemy.com/course/sachin-quickly-learns-sql/,Kotaa Krishna Kamath,4.2,626,23108,13,90.0,DataBase
PostgreSQL High Performance Tuning Guide,https://www.udemy.com/course/postgresql-high-performance-tuning-guide/,Lucian Oprea,4.4,616,3673,51,150.0,DataBase
Learn SQL with Microsoft SQL Server,https://www.udemy.com/course/learn-sql-with-microsoft-sql-server/,John Elder,4.7,610,4678,35,120.0,DataBase
Introduction to Azure SQL Database for Beginners,https://www.udemy.com/course/introduction-to-azure-sql-database/,Artemakis Artemiou,4.3,607,3078,53,480.0,DataBase
Complete Filemaker Invoice database,https://www.udemy.com/course/complete-filemaker-invoice-database/,Guy Stevens,4.3,602,2376,28,300.0,DataBase
Understanding CouchDB 3: Learn Basic & Advanced NoSQL Skills,https://www.udemy.com/course/understanding-couchdb/,Gregory (Mad Pink) Miller,4.6,599,3971,53,420.0,DataBase
The SQL MicroDegree 2021: From SQL Basics To MySQL Mastery,https://www.udemy.com/course/sqlmicrodegree/,Abhishek Pughazh,4.5,580,37858,86,270.0,DataBase
Practice advanced SQL queries with MySQL 5.7+,https://www.udemy.com/course/practice-advanced-sql-with-mysql/,Michal Juhas,4.0,559,5228,79,300.0,DataBase
ETL Framework for Data Warehouse Environments,https://www.udemy.com/course/etl-framework-for-data-warehouse-environments/,Sid Inf,4.2,550,3681,76,390.0,DataBase
NoSQL: Neo4j and Cypher (Part: 2-Intermediate),https://www.udemy.com/course/neo4j_intermediate/,Bruce E. Hilton,4.3,549,3375,26,150.0,DataBase
Basics of Database Design & Development,https://www.udemy.com/course/database-design-development/,Creative Online School,4.0,547,124768,32,180.0,DataBase
Microsoft Azure Data Lake Storage Service (Gen1 & Gen2),https://www.udemy.com/course/microsoft-azure-data-lake/,"Eshant Garg | AWS Certified Cloud Practitioner | LearnCloud.Info | 100,000+ Enrollments",4.7,517,7503,63,390.0,DataBase
Learn Oracle 12c SQL : Kickstart kit for beginners,https://www.udemy.com/course/learn-sql-from-scratch-x/,Cheena S,4.5,514,2331,31,240.0,DataBase
MongoDB 3.2: Professional Developer,https://www.udemy.com/course/mongodb-professional-developer/,Hubert Łyczek,4.5,510,3353,132,960.0,DataBase
Database Management Systems Part 3 : SQL Interview Course,https://www.udemy.com/course/sql-interview-preparation-course/,Vignesh Sekar,4.7,485,2306,53,600.0,DataBase
Master Data Management,https://www.udemy.com/course/master-data-management/,The Art Of Service,3.4,484,2084,57,180.0,DataBase
The Complete SQL Server For Beginners,https://www.udemy.com/course/the-complete-sql-server-for-developers/,Ahmad Mohey,4.2,476,2191,137,540.0,DataBase
LEARNING PATH: Azure: Explore Azure Functions and Logic Apps,https://www.udemy.com/course/learning-path-azure-explore-azure-functions-and-logic-apps/,Packt Publishing,4.2,475,3645,47,360.0,DataBase
SQL Made Simple: SQL Server Queries for Non-Programmers,https://www.udemy.com/course/learn-sql/,IsáBel .,4.6,473,4055,120,210.0,DataBase
Big Data and Hadoop for Absolute Beginners,https://www.udemy.com/course/learn-hadoop-step-by-step-from-scratch/,IT Skills In Demand,4.2,463,6750,51,240.0,DataBase
SQL for Newcomers - The Full Mastery Course,https://www.udemy.com/course/sql-for-newcomers/,Sameh Sharaf,4.6,462,12025,124,660.0,DataBase
Oracle Performance Tuning,https://www.udemy.com/course/oracle-performance-tuning/,Amit Arora,2.9,458,2528,19,180.0,DataBase
Professional Azure SQL Database Administration,https://www.udemy.com/course/professional-azure-sql-database-administration/,Packt Publishing,4.3,452,1775,66,300.0,DataBase
Database Management Systems - MySQL,https://www.udemy.com/course/database-management-systems-mysql/,DATAhill Solutions Srinivas Reddy,4.5,450,14173,6,240.0,DataBase
DB2 For Beginners,https://www.udemy.com/course/db2-for-beginners/,Bluelime Learning Solutions,4.3,446,3051,27,120.0,DataBase
Introduction to Apache Solr,https://www.udemy.com/course/learn-apache-solr-8/,Lucian Oprea,4.4,433,1476,44,150.0,DataBase
MS SQL Server With Real World Db Design Techniques,https://www.udemy.com/course/learn-ms-sql-server-from-scratch/,Manzoor Ahmed,4.5,427,10591,43,630.0,DataBase
SQL Database MasterClass: Go From Pupil To Master!,https://www.udemy.com/course/sql-for-people-who-dont-know-sql-at-all-a-beginners-guide/,Rico Rodriguez,3.4,413,14270,49,360.0,DataBase
Learn Apache Cassandra from Scratch,https://www.udemy.com/course/learn-apache-cassandra-from-scracth/,Eduonix Learning Solutions,4.3,411,4400,25,240.0,DataBase
A Beginners Guide To SQL. Master SQL Quickly,https://www.udemy.com/course/beginners-guide-to-sql-master-sql-quickly/,Infinite Skills,4.4,409,1615,34,210.0,DataBase
PostgreSQL Database Administration (DBA) for Beginners,https://www.udemy.com/course/postgresql-database-administration-dba-for-beginners/,Bluelime Learning Solutions,4.1,406,5439,111,660.0,DataBase
Learning Path: The Roadway to IBM Cognos Analytics,https://www.udemy.com/course/learning-path-the-roadway-to-ibm-cognos-analytics/,Packt Publishing,3.7,405,1782,49,360.0,DataBase
Learning Oracle 12c - A Beginners Oracle Training Video,https://www.udemy.com/course/oracle-12c/,Infinite Skills,4.3,398,2018,102,660.0,DataBase
T-SQL Training with Real World Scenarios:Tricks of the Trade,https://www.udemy.com/course/t-sql-training/,Vikas Munjal,4.8,389,2111,43,360.0,DataBase
Complete SQL Guide,https://www.udemy.com/course/complete-sql-guide/,Diptam Paul,4.1,389,26945,43,180.0,DataBase
SQL Server Migration and Upgrade Process,https://www.udemy.com/course/sql-server-migration-and-upgrade-process/,Raphael Asghar,4.7,387,2633,35,420.0,DataBase
