강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
<1만 시간의 법칙> 웹 페이지 제작하기,https://www.udemy.com/course/10000-hours-rule/,호준 이,4.6,12,284,13,90.0,devel_web
생애 첫 SQL With 제코베,https://www.udemy.com/course/sql-with-jcb/,호준 이,4.8,4,82,14,120.0,devel_web
Google Sheets로 만드는 Simple Blog!,https://www.udemy.com/course/simple-blog-with-google-sheets/,호준 이,4.5,2,77,14,60.0,devel_web
The Web Developer Bootcamp 2022,https://www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,4.7,233912,780532,615,3840.0,devel_web
The Complete 2022 Web Development Bootcamp,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,4.7,187273,624532,490,3930.0,devel_web
Angular - The Complete Guide (2022 Edition),https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,4.6,164268,580242,463,2040.0,devel_web
The Complete JavaScript Course 2022: From Zero to Expert!,https://www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,4.7,137268,611169,320,4140.0,devel_web
Modern React with Redux,https://www.udemy.com/course/react-redux/,Stephen Grider,4.7,74843,262477,570,3150.0,devel_web
Build Responsive Real-World Websites with HTML and CSS,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Jonas Schmedtmann,4.8,74662,304073,150,2250.0,devel_web
The Complete Web Developer Course 2.0,https://www.udemy.com/course/the-complete-web-developer-course-2/,Rob Percival,4.5,69651,300735,305,1830.0,devel_web
The Complete Web Developer in 2022: Zero to Mastery,https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,Andrei Neagoie,4.7,53872,183232,388,2280.0,devel_web
Vue - The Complete Guide (incl. Router & Composition API),https://www.udemy.com/course/vuejs-2-the-complete-guide/,Maximilian Schwarzmüller,4.8,53211,191766,328,1920.0,devel_web
JavaScript: Understanding the Weird Parts,https://www.udemy.com/course/understand-javascript/,Anthony Alicea,4.7,44400,173967,88,720.0,devel_web
Python and Django Full Stack Web Developer Bootcamp,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Jose Portilla,4.5,42810,174269,198,1920.0,devel_web
Master Microservices with Spring Boot and Spring Cloud,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,4.5,36025,167222,242,1170.0,devel_web
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",https://www.udemy.com/course/advanced-css-and-sass/,Jonas Schmedtmann,4.8,35696,163437,126,1680.0,devel_web
HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,Edwin Diaz,4.4,33500,358443,49,360.0,devel_web
Understanding TypeScript - 2022 Edition,https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,4.7,30879,147332,198,900.0,devel_web
The Complete ASP.NET MVC 5 Course,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,Mosh Hamedani,4.4,30484,117341,139,450.0,devel_web
Modern JavaScript From The Beginning,https://www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,4.6,28677,94626,122,1290.0,devel_web
Learn and Understand NodeJS,https://www.udemy.com/course/understand-nodejs/,Anthony Alicea,4.6,26919,118097,97,780.0,devel_web
The Complete Angular Course: Beginner to Advanced,https://www.udemy.com/course/the-complete-angular-master-class/,Mosh Hamedani,4.5,25455,103917,376,1770.0,devel_web
Modern HTML & CSS From The Beginning (Including Sass),https://www.udemy.com/course/modern-html-css-from-the-beginning/,Brad Traversy,4.7,22373,69123,129,1260.0,devel_web
Angular & NodeJS - The MEAN Stack Guide [2022 Edition],https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,4.6,21922,110420,151,780.0,devel_web
PHP for Beginners - Become a PHP Master - CMS Project,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,Edwin Diaz,4.4,21798,108301,344,2310.0,devel_web
