강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"COS Pro Python(파이썬) 코딩 자격증 따기(1, 2급)",https://www.udemy.com/course/cos-pro-python-1-2/,ITGO 아이티고,0.0,0,2,33,840.0,devel_prg_lang
"파이썬과 C언어, 같이 배우기",https://www.udemy.com/course/python_and_c/,Tei Jang,0.0,0,3,14,240.0,devel_prg_lang
C언어 기초에서 활용까지 제대로 배우기(고급),https://www.udemy.com/course/c-wqnrmj/,ITGO 아이티고,0.0,0,9,76,2430.0,devel_prg_lang
윤재성의 Google 공식 언어 Kotlin 프로그래밍,https://www.udemy.com/course/google-kotlin/,Softcampus Academy,0.0,0,3,47,720.0,devel_prg_lang
김왼손의 유기농냠냠파이썬: 세시간만에 끝내는 파이썬 (Python) 기초,https://www.udemy.com/course/unp_python/,Lefty Khim,4.8,858,4296,85,180.0,devel_prg_lang
자바 기초 프로그래밍 강좌 (Java Programming Tutorial 2017),https://www.udemy.com/course/java-programming-tutorial-2017/,동빈 나,4.8,267,3073,23,270.0,devel_prg_lang
C언어 기초 프로그래밍 강좌 (C Programming Tutorial),https://www.udemy.com/course/c-programming-basic/,동빈 나,4.7,160,2164,20,270.0,devel_prg_lang
C 프로그래밍 - 입문부터 게임 개발까지,https://www.udemy.com/course/nadocoding-c/,나도 코딩,4.8,64,1516,76,390.0,devel_prg_lang
"Ask Django 와 함께 장고걸스 심화 튜토리얼 따라하기 ( django, 장고 ) - Free",https://www.udemy.com/course/djangogirls-extensions-with-askdjango/,Chinseok Lee,4.7,57,1715,16,90.0,devel_prg_lang
코딩테스트 대비 효율적 알고리즘 공부법,https://www.udemy.com/course/comgong_codingtest_webinar/,컴공 선배,4.5,10,222,10,60.0,devel_prg_lang
처음하는 코딩 - 러플 (중등교육 - Python),https://www.udemy.com/course/rurple_jcb/,호준 이,4.5,1,47,11,90.0,devel_prg_lang
2022 Complete Python Bootcamp From Zero to Hero in Python,https://www.udemy.com/course/complete-python-bootcamp/,Jose Portilla,4.6,415181,1516514,155,1320.0,devel_prg_lang
